kd: 0.1, 	 kp: 0.1
kd: 0.1, 	 kp: 1.45
kd: 0.325, 	 kp: 0.1
kd: 0.55, 	 kp: 0.1
kd: 0.775, 	 kp: 0.1
kd: 1.0, 	 kp: 0.1
kd: 1.225, 	 kp: 0.1
kd: 1.45, 	 kp: 0.1
kd: 1.675, 	 kp: 0.1
kd: 1.9, 	 kp: 0.1
kd: 1.9, 	 kp: 0.55
kd: 1.9, 	 kp: 1.9
kd: 2.12, 	 kp: 0.1
kd: 2.12, 	 kp: 1.675
kd: 2.345, 	 kp: 0.1
kd: 2.57, 	 kp: 0.1
kd: 2.57, 	 kp: 1.0
kd: 2.57, 	 kp: 1.9
kd: 2.795, 	 kp: 0.1
kd: 2.795, 	 kp: 0.325
kd: 2.795, 	 kp: 1.9
kd: 3.02, 	 kp: 0.1
kd: 3.02, 	 kp: 0.325
kd: 3.245, 	 kp: 0.1
kd: 3.47, 	 kp: 0.1
kd: 3.47, 	 kp: 0.325
kd: 3.695, 	 kp: 0.1
kd: 3.695, 	 kp: 1.45
kd: 3.92, 	 kp: 0.1
kd: 3.92, 	 kp: 0.325
kd: 3.92, 	 kp: 1.9
kd: 0.1, 	 kp: 3.02
kd: 0.1, 	 kp: 3.245
kd: 0.1, 	 kp: 3.695
kd: 0.1, 	 kp: 3.92
kd: 0.325, 	 kp: 2.57
kd: 0.325, 	 kp: 2.795
kd: 0.325, 	 kp: 3.695
kd: 0.55, 	 kp: 3.92
kd: 0.775, 	 kp: 2.12
kd: 1.45, 	 kp: 2.57
kd: 1.45, 	 kp: 2.795
kd: 1.45, 	 kp: 3.92
kd: 1.675, 	 kp: 2.12
kd: 1.675, 	 kp: 2.57
kd: 1.9, 	 kp: 2.57
kd: 1.9, 	 kp: 3.92
kd: 2.12, 	 kp: 2.345
kd: 2.12, 	 kp: 2.57
kd: 2.12, 	 kp: 2.795
kd: 2.12, 	 kp: 3.695
kd: 2.345, 	 kp: 3.47
kd: 2.57, 	 kp: 3.92
kd: 2.795, 	 kp: 2.345
kd: 2.795, 	 kp: 2.795
kd: 2.795, 	 kp: 3.245
kd: 2.795, 	 kp: 3.92
kd: 3.02, 	 kp: 2.345
kd: 3.02, 	 kp: 2.57
kd: 3.245, 	 kp: 2.345
kd: 3.245, 	 kp: 3.245
kd: 3.47, 	 kp: 2.57
kd: 3.47, 	 kp: 3.02
kd: 3.47, 	 kp: 3.695
kd: 3.92, 	 kp: 2.57
