robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,2.12,0.1,N/A,N/A,N/A
robot2,2.12,0.1,N/A,N/A,N/A
robot1,2.12,0.32499999999999996,2.59,43.47,44.47
robot2,2.12,0.32499999999999996,3.42,28.12,36.47
robot1,2.12,0.5499999999999999,2.45,51.37,43.63
robot2,2.12,0.5499999999999999,2.63,38.71,32.65
robot1,2.12,0.7749999999999999,2.08,68.44,43.45
robot2,2.12,0.7749999999999999,2.33,57.14,33.81
robot1,2.12,0.9999999999999999,2.02,72.75,41.23
robot2,2.12,0.9999999999999999,2.40,51.10,31.57
robot1,2.12,1.225,2.02,77.29,43.31
robot2,2.12,1.225,2.14,61.86,33.94
robot1,2.12,1.45,2.03,82.85,42.08
robot2,2.12,1.45,2.15,68.28,36.25
robot1,2.12,1.6749999999999998,N/A,N/A,N/A
robot2,2.12,1.6749999999999998,2.35,68.97,18.54
robot1,2.12,1.9,1.70,91.76,44.03
robot2,2.12,1.9,1.83,81.82,34.94
robot1,2.345,0.1,N/A,N/A,N/A
robot2,2.345,0.1,3.49,10.89,83.57
robot1,2.345,0.32499999999999996,2.87,42.94,48.29
robot2,2.345,0.32499999999999996,3.11,21.90,36.96
robot1,2.345,0.5499999999999999,2.44,51.06,44.48
robot2,2.345,0.5499999999999999,2.62,29.41,34.00
robot1,2.345,0.7749999999999999,2.08,65.42,40.02
robot2,2.345,0.7749999999999999,2.50,45.15,31.50
robot1,2.345,0.9999999999999999,2.16,74.05,41.06
robot2,2.345,0.9999999999999999,2.44,50.48,31.41
robot1,2.345,1.225,2.23,67.83,43.54
robot2,2.345,1.225,2.48,51.94,34.07
robot1,2.345,1.45,2.08,82.44,43.64
robot2,2.345,1.45,2.12,65.77,34.32
robot1,2.345,1.6749999999999998,2.21,84.15,42.41
robot2,2.345,1.6749999999999998,2.28,66.67,35.82
robot1,2.345,1.9,1.79,91.65,61.07
robot2,2.345,1.9,2.44,65.65,52.08
robot1,2.5700000000000003,0.1,N/A,N/A,N/A
robot2,2.5700000000000003,0.1,N/A,N/A,N/A
robot1,2.5700000000000003,0.32499999999999996,2.68,47.69,45.63
robot2,2.5700000000000003,0.32499999999999996,3.21,24.84,36.09
robot1,2.5700000000000003,0.5499999999999999,2.63,40.83,45.11
robot2,2.5700000000000003,0.5499999999999999,3.15,27.70,34.70
robot1,2.5700000000000003,0.7749999999999999,2.27,59.77,41.01
robot2,2.5700000000000003,0.7749999999999999,2.64,36.49,32.51
robot1,2.5700000000000003,0.9999999999999999,2.28,62.54,42.41
robot2,2.5700000000000003,0.9999999999999999,N/A,N/A,N/A
robot1,2.5700000000000003,1.225,2.25,67.46,44.32
robot2,2.5700000000000003,1.225,2.45,55.56,34.17
robot1,2.5700000000000003,1.45,2.02,75.80,40.52
robot2,2.5700000000000003,1.45,2.41,54.29,30.91
robot1,2.5700000000000003,1.6749999999999998,1.84,82.00,44.89
robot2,2.5700000000000003,1.6749999999999998,2.31,66.53,38.96
robot1,2.5700000000000003,1.9,1.96,85.50,54.62
robot2,2.5700000000000003,1.9,N/A,N/A,N/A
robot1,2.795,0.1,N/A,N/A,N/A
robot2,2.795,0.1,3.97,18.52,39.18
robot1,2.795,0.32499999999999996,N/A,N/A,N/A
robot2,2.795,0.32499999999999996,3.54,28.57,37.08
robot1,2.795,0.5499999999999999,2.41,48.05,40.14
robot2,2.795,0.5499999999999999,3.07,26.11,31.99
robot1,2.795,0.7749999999999999,2.14,64.76,40.09
robot2,2.795,0.7749999999999999,2.85,28.08,33.94
robot1,2.795,0.9999999999999999,2.21,68.28,41.68
robot2,2.795,0.9999999999999999,2.36,52.38,32.36
robot1,2.795,1.225,2.29,65.28,44.48
robot2,2.795,1.225,2.39,52.52,34.16
robot1,2.795,1.45,2.22,71.92,44.41
robot2,2.795,1.45,2.15,69.64,34.60
robot1,2.795,1.6749999999999998,2.34,67.65,59.12
robot2,2.795,1.6749999999999998,2.29,65.75,34.10
robot1,2.795,1.9,N/A,N/A,N/A
robot2,2.795,1.9,N/A,N/A,N/A
robot1,3.02,0.1,N/A,N/A,N/A
robot2,3.02,0.1,3.54,19.82,36.72
robot1,3.02,0.32499999999999996,N/A,N/A,N/A
robot2,3.02,0.32499999999999996,2.71,40.20,33.22
robot1,3.02,0.5499999999999999,2.44,48.04,44.59
robot2,3.02,0.5499999999999999,2.68,30.77,34.54
robot1,3.02,0.7749999999999999,2.24,61.89,40.35
robot2,3.02,0.7749999999999999,2.45,36.22,30.98
robot1,3.02,0.9999999999999999,2.29,60.06,44.34
robot2,3.02,0.9999999999999999,2.30,45.45,34.00
robot1,3.02,1.225,2.14,67.80,41.84
robot2,3.02,1.225,2.61,41.57,32.20
robot1,3.02,1.45,2.10,69.50,40.70
robot2,3.02,1.45,2.27,60.00,32.11
robot1,3.02,1.6749999999999998,2.27,75.30,45.49
robot2,3.02,1.6749999999999998,2.45,58.56,36.82
robot1,3.02,1.9,2.19,76.92,44.88
robot2,3.02,1.9,2.37,58.49,34.95
