robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,0.1,2.12,1.55,91.52,44.28
robot2,0.1,2.12,1.78,83.33,34.63
robot1,0.1,2.345,1.55,92.15,45.16
robot2,0.1,2.345,1.79,85.04,35.67
robot1,0.1,2.5700000000000003,1.53,91.69,47.87
robot2,0.1,2.5700000000000003,1.86,84.54,38.04
robot1,0.1,2.795,1.51,91.69,47.94
robot2,0.1,2.795,1.81,82.42,38.14
robot1,0.1,3.02,1.52,92.54,44.70
robot2,0.1,3.02,N/A,N/A,N/A
robot1,0.1,3.245,1.50,89.45,44.18
robot2,0.1,3.245,N/A,N/A,N/A
robot1,0.1,3.4699999999999998,1.50,90.95,45.10
robot2,0.1,3.4699999999999998,1.74,89.63,35.19
robot1,0.1,3.695,1.50,91.75,44.30
robot2,0.1,3.695,N/A,N/A,N/A
robot1,0.1,3.92,1.52,93.35,45.12
robot2,0.1,3.92,N/A,N/A,N/A
robot1,0.32499999999999996,2.12,1.57,93.26,43.23
robot2,0.32499999999999996,2.12,1.79,86.76,33.73
robot1,0.32499999999999996,2.345,1.54,92.82,46.29
robot2,0.32499999999999996,2.345,1.88,77.88,36.74
robot1,0.32499999999999996,2.5700000000000003,1.56,94.25,44.10
robot2,0.32499999999999996,2.5700000000000003,N/A,N/A,N/A
robot1,0.32499999999999996,2.795,1.54,92.73,43.93
robot2,0.32499999999999996,2.795,N/A,N/A,N/A
robot1,0.32499999999999996,3.02,1.55,94.50,47.92
robot2,0.32499999999999996,3.02,1.83,87.00,38.11
robot1,0.32499999999999996,3.245,1.53,91.02,48.24
robot2,0.32499999999999996,3.245,1.91,80.41,38.33
robot1,0.32499999999999996,3.4699999999999998,1.52,92.31,48.86
robot2,0.32499999999999996,3.4699999999999998,1.53,82.28,38.93
robot1,0.32499999999999996,3.695,1.52,92.80,44.50
robot2,0.32499999999999996,3.695,N/A,N/A,N/A
robot1,0.32499999999999996,3.92,1.49,90.59,48.57
robot2,0.32499999999999996,3.92,1.90,84.21,38.65
robot1,0.5499999999999999,2.12,1.59,92.99,42.95
robot2,0.5499999999999999,2.12,1.89,88.41,33.44
robot1,0.5499999999999999,2.345,1.58,94.30,43.09
robot2,0.5499999999999999,2.345,1.83,87.59,33.45
robot1,0.5499999999999999,2.5700000000000003,1.58,92.31,45.99
robot2,0.5499999999999999,2.5700000000000003,1.94,86.09,36.29
robot1,0.5499999999999999,2.795,1.58,91.88,44.34
robot2,0.5499999999999999,2.795,1.78,90.00,34.38
robot1,0.5499999999999999,3.02,1.54,90.45,47.58
robot2,0.5499999999999999,3.02,1.52,78.48,37.76
robot1,0.5499999999999999,3.245,1.55,92.27,45.33
robot2,0.5499999999999999,3.245,1.76,85.71,35.36
robot1,0.5499999999999999,3.4699999999999998,1.54,93.52,45.60
robot2,0.5499999999999999,3.4699999999999998,1.59,92.41,35.75
robot1,0.5499999999999999,3.695,1.54,92.87,46.10
robot2,0.5499999999999999,3.695,1.59,91.20,36.03
robot1,0.5499999999999999,3.92,1.51,91.87,44.80
robot2,0.5499999999999999,3.92,N/A,N/A,N/A
robot1,0.7749999999999999,2.12,N/A,N/A,N/A
robot2,0.7749999999999999,2.12,1.93,69.09,16.74
robot1,0.7749999999999999,2.345,1.58,95.30,45.53
robot2,0.7749999999999999,2.345,1.96,84.26,35.98
robot1,0.7749999999999999,2.5700000000000003,1.59,94.32,45.72
robot2,0.7749999999999999,2.5700000000000003,1.89,84.82,36.08
robot1,0.7749999999999999,2.795,1.58,95.63,46.23
robot2,0.7749999999999999,2.795,1.58,84.38,36.41
robot1,0.7749999999999999,3.02,1.58,93.95,44.62
robot2,0.7749999999999999,3.02,1.86,86.92,35.04
robot1,0.7749999999999999,3.245,1.56,93.95,47.47
robot2,0.7749999999999999,3.245,1.84,87.59,37.72
robot1,0.7749999999999999,3.4699999999999998,1.57,91.83,48.43
robot2,0.7749999999999999,3.4699999999999998,1.59,89.16,38.54
