robot,lin_vel_max,ang_vel_max,ideal_distance,ideal_distance_tolerance,num_collisions,avg_velocity,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,1.8,1.0471975511965976,1.5,0.2,0,1.11,1.80,24.14,63.84
robot2,1.8,1.0471975511965976,1.5,0.2,0,1.39,1.99,19.68,48.75
robot1,1.8,1.0471975511965976,1.5,0.3,0,1.21,1.77,39.36,59.68
robot2,1.8,1.0471975511965976,1.5,0.3,0,1.50,2.01,33.13,46.10
robot1,1.8,1.0471975511965976,1.5,0.4,0,1.28,1.75,51.67,56.58
robot2,1.8,1.0471975511965976,1.5,0.4,0,1.60,2.06,54.70,42.80
robot1,1.8,1.0471975511965976,1.5,0.5,0,1.39,1.71,72.27,51.28
robot2,1.8,1.0471975511965976,1.5,0.5,0,1.82,1.96,65.52,40.33
robot1,1.8,1.0471975511965976,1.6,0.2,0,1.09,1.88,21.39,69.60
robot2,1.8,1.0471975511965976,1.6,0.2,0,1.28,2.14,13.70,54.54
robot1,1.8,1.0471975511965976,1.6,0.3,0,1.20,1.85,38.24,63.14
robot2,1.8,1.0471975511965976,1.6,0.3,0,1.41,2.17,24.46,48.90
robot1,1.8,1.0471975511965976,1.6,0.4,0,1.30,1.84,54.37,55.58
robot2,1.8,1.0471975511965976,1.6,0.4,0,1.63,2.10,47.97,42.25
robot1,1.8,1.0471975511965976,1.6,0.5,0,1.41,1.80,72.34,51.44
robot2,1.8,1.0471975511965976,1.6,0.5,0,1.72,2.12,60.00,40.14
robot1,1.8,1.0471975511965976,1.7,0.2,0,1.08,1.96,20.99,66.63
robot2,1.8,1.0471975511965976,1.7,0.2,0,1.40,2.14,20.83,51.47
robot1,1.8,1.0471975511965976,1.7,0.3,0,1.19,1.94,36.42,61.25
robot2,1.8,1.0471975511965976,1.7,0.3,0,1.50,2.15,34.13,46.63
robot1,1.8,1.0471975511965976,1.7,0.4,0,1.36,1.90,62.19,54.02
robot2,1.8,1.0471975511965976,1.7,0.4,0,1.64,2.18,58.47,42.41
robot1,1.8,1.0471975511965976,1.7,0.5,0,1.43,1.94,76.50,50.17
robot2,1.8,1.0471975511965976,1.7,0.5,0,1.79,2.17,60.48,38.11
robot1,1.8,1.0471975511965976,1.8,0.2,368,1.07,1.99,20.04,67.36
robot2,1.8,1.0471975511965976,1.8,0.2,0,1.35,2.22,19.68,52.69
robot1,1.8,1.0471975511965976,1.8,0.3,0,1.18,2.03,35.73,64.76
robot2,1.8,1.0471975511965976,1.8,0.3,0,1.41,2.30,22.70,49.52
robot1,1.8,1.0471975511965976,1.8,0.4,0,1.42,1.99,70.60,49.74
robot2,1.8,1.0471975511965976,1.8,0.4,0,1.91,2.18,66.01,38.70
robot1,1.8,1.0471975511965976,1.8,0.5,307,1.42,1.97,75.06,50.16
robot2,1.8,1.0471975511965976,1.8,0.5,0,1.80,2.27,60.63,38.31
robot1,1.8,2.0943951023931953,1.5,0.2,0,1.12,1.74,22.12,61.01
robot2,1.8,2.0943951023931953,1.5,0.2,0,1.53,1.72,25.12,46.32
robot1,1.8,2.0943951023931953,1.5,0.3,0,1.22,1.72,37.68,55.79
